status,date(created_at),date(closed_at)
closed,2015-06-25,2015-06-25
closed,2015-06-25,2015-07-16
closed,2015-06-25,2015-06-25
closed,2015-06-25,2015-06-25
closed,2015-06-25,2015-06-25
closed,2015-06-26,2015-06-26
closed,2015-06-26,2015-06-26
closed,2015-06-27,2015-06-29
closed,2015-06-28,2015-06-28
closed,2015-07-01,2015-07-02
closed,2015-07-01,2015-07-01
closed,2015-07-01,2015-07-01
closed,2015-07-01,2015-07-01
closed,2015-07-01,2015-07-01
closed,2015-07-01,2015-07-01
closed,2015-07-01,2015-07-01
closed,2015-07-02,2015-07-02
closed,2015-07-07,2015-07-07
closed,2015-07-07,2015-07-07
closed,2015-07-07,2015-07-12
closed,2015-07-08,2015-07-08
closed,2015-07-09,2015-07-09
closed,2015-07-09,2015-07-12
closed,2015-07-12,2015-07-12
closed,2015-07-12,2015-07-12
closed,2015-07-12,2015-07-12
closed,2015-07-13,2015-07-13
closed,2015-07-13,2015-07-13
closed,2015-07-13,2015-07-13
closed,2015-07-14,2015-07-16
closed,2015-07-14,2015-07-14
closed,2015-07-14,2015-07-15
closed,2015-07-14,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-16,2015-07-16
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-20
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-17,2015-07-17
closed,2015-07-19,2015-07-22
closed,2015-07-19,2015-07-19
closed,2015-07-19,2015-07-20
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-23
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-21
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-20
closed,2015-07-20,2015-07-22
